star 1	err	star 2	err	star 3		2-1	3-1	3-2	HJD	Epoch	error 3-2	error 2-1	error 3-1	phase	new phase
-11.639	0.003	-8.475	0.017	-8.89	0.013	3.164	2.749	-0.415	2459522.583	59522.58286	0.01334166406	0.02140093456	0.01334166406	0.8564472723	0.9720237752
-11.602	0.003	-8.435	0.017	-8.859	0.013	3.167	2.743	-0.424	2459522.583	59522.58305	0.01334166406	0.02140093456	0.01334166406	0.8570340442	0.9726105471
-11.651	0.003	-8.493	0.016	-8.875	0.013	3.158	2.776	-0.382	2459522.583	59522.58323	0.01334166406	0.02061552813	0.01334166406	0.8576207842	0.9731972871
-11.644	0.003	-8.495	0.016	-8.877	0.013	3.149	2.767	-0.382	2459522.583	59522.58342	0.01334166406	0.02061552813	0.01334166406	0.858207183	0.9737836859
-11.674	0.003	-8.489	0.017	-8.934	0.012	3.185	2.74	-0.445	2459522.584	59522.58361	0.01236931688	0.02080865205	0.01236931688	0.8587903382	0.9743668411
-11.628	0.003	-8.484	0.016	-8.91	0.012	3.144	2.718	-0.426	2459522.584	59522.5838	0.01236931688	0.02	0.01236931688	0.8593723696	0.9749488726
-11.639	0.003	-8.514	0.016	-8.894	0.012	3.125	2.745	-0.38	2459522.584	59522.58398	0.01236931688	0.02	0.01236931688	0.859956274	0.975532777
-11.643	0.003	-8.483	0.016	-8.924	0.012	3.16	2.719	-0.441	2459522.584	59522.58418	0.01236931688	0.02	0.01236931688	0.8605545815	0.9761310844
-11.6	0.003	-8.472	0.017	-8.9	0.013	3.128	2.7	-0.428	2459522.584	59522.5844	0.01334166406	0.02140093456	0.01334166406	0.8612647318	0.9768412347
-11.653	0.003	-8.501	0.016	-8.883	0.012	3.152	2.77	-0.382	2459522.585	59522.58459	0.01236931688	0.02	0.01236931688	0.8618435211	0.977420024
-11.604	0.003	-8.465	0.017	-8.881	0.013	3.139	2.723	-0.416	2459522.585	59522.58478	0.01334166406	0.02140093456	0.01334166406	0.8624248687	0.9780013716
-11.619	0.003	-8.473	0.017	-8.886	0.013	3.146	2.733	-0.413	2459522.585	59522.58496	0.01334166406	0.02140093456	0.01334166406	0.8630047498	0.9785812527
-11.651	0.003	-8.479	0.017	-8.91	0.012	3.172	2.741	-0.431	2459522.585	59522.58515	0.01236931688	0.02080865205	0.01236931688	0.8635886222	0.9791651252
-11.62	0.003	-8.462	0.017	-8.874	0.013	3.158	2.746	-0.412	2459522.585	59522.58534	0.01334166406	0.02140093456	0.01334166406	0.8641732424	0.9797497454
-11.595	0.003	-8.443	0.017	-8.848	0.013	3.152	2.747	-0.405	2459522.586	59522.58552	0.01334166406	0.02140093456	0.01334166406	0.8647610743	0.9803375772
-11.625	0.003	-8.502	0.016	-8.911	0.012	3.123	2.714	-0.409	2459522.586	59522.58571	0.01236931688	0.02	0.01236931688	0.8653388036	0.9809153066
-11.643	0.003	-8.497	0.016	-8.912	0.012	3.146	2.731	-0.415	2459522.586	59522.5859	0.01236931688	0.02	0.01236931688	0.8659273527	0.9815038557
-11.588	0.003	-8.456	0.017	-8.866	0.013	3.132	2.722	-0.41	2459522.586	59522.58609	0.01334166406	0.02140093456	0.01334166406	0.8665108506	0.9820873535
-11.619	0.003	-8.518	0.016	-8.877	0.013	3.101	2.742	-0.359	2459522.586	59522.58627	0.01334166406	0.02061552813	0.01334166406	0.8670968748	0.9826733777
-11.577	0.003	-8.476	0.017	-8.831	0.013	3.101	2.746	-0.355	2459522.586	59522.58646	0.01334166406	0.02140093456	0.01334166406	0.8676760692	0.9832525721
-11.601	0.003	-8.484	0.017	-8.884	0.012	3.117	2.717	-0.4	2459522.587	59522.58665	0.01236931688	0.02080865205	0.01236931688	0.8682592244	0.9838357273
-11.528	0.003	-8.387	0.017	-8.781	0.013	3.141	2.747	-0.394	2459522.587	59522.58683	0.01334166406	0.02140093456	0.01334166406	0.8688452486	0.9844217515
-11.61	0.003	-8.471	0.017	-8.887	0.012	3.139	2.723	-0.416	2459522.587	59522.58702	0.01236931688	0.02080865205	0.01236931688	0.8694298368	0.9850063397
-11.659	0.003	-8.517	0.016	-8.906	0.013	3.142	2.753	-0.389	2459522.587	59522.58721	0.01334166406	0.02061552813	0.01334166406	0.8700093753	0.9855858782
-11.614	0.003	-8.482	0.016	-8.89	0.013	3.132	2.724	-0.408	2459522.587	59522.58739	0.01334166406	0.02061552813	0.01334166406	0.8705906909	0.9861671938
-11.661	0.003	-8.537	0.016	-8.93	0.012	3.124	2.731	-0.393	2459522.588	59522.58758	0.01236931688	0.02	0.01236931688	0.8711810491	0.986757552
-11.53	0.003	-8.361	0.018	-8.792	0.014	3.169	2.738	-0.431	2459522.588	59522.58778	0.01431782106	0.0228035085	0.01431782106	0.8717818829	0.9873583858
-11.6	0.003	-8.477	0.017	-8.869	0.013	3.123	2.731	-0.392	2459522.588	59522.58798	0.01334166406	0.02140093456	0.01334166406	0.8724061637	0.9879826667
-11.619	0.003	-8.473	0.016	-8.902	0.012	3.146	2.717	-0.429	2459522.588	59522.58816	0.01236931688	0.02	0.01236931688	0.8729857022	0.9885622051
-11.649	0.003	-8.54	0.016	-8.902	0.012	3.109	2.747	-0.362	2459522.588	59522.58836	0.01236931688	0.02	0.01236931688	0.8735886877	0.9891651907
-11.641	0.003	-8.544	0.016	-8.881	0.013	3.097	2.76	-0.337	2459522.589	59522.58854	0.01334166406	0.02061552813	0.01334166406	0.8741685994	0.9897451023
