star 1	err	star 2	err	star 3	err	HJD	2-1	3-1	3-2	Epoch	error 3-2	error 2-1	error 3-1	phase	new pahse
-12.62	0.003	-9.47	0.019	-10.485	0.01	2459522.583	3.15	2.135	-1.015	59522.58273	0.02147091055	0.01923538406	0.01044030651	0.8554603699	0.9716221493
-12.682	0.003	-9.529	0.018	-10.575	0.009	2459522.583	3.153	2.107	-1.046	59522.58292	0.0201246118	0.01824828759	0.009486832981	0.8560456463	0.9722067375
-12.672	0.003	-9.538	0.018	-10.532	0.009	2459522.583	3.134	2.14	-0.994	59522.58311	0.0201246118	0.01824828759	0.009486832981	0.8566302346	0.9727956612
-12.566	0.003	-9.419	0.02	-10.417	0.01	2459522.583	3.147	2.149	-0.998	59522.58329	0.02236067977	0.02022374842	0.01044030651	0.8572191583	0.9733777246
-12.621	0.003	-9.473	0.019	-10.476	0.01	2459522.583	3.148	2.145	-1.003	59522.58348	0.02147091055	0.01923538406	0.01044030651	0.8578012216	0.9739652138
-12.663	0.003	-9.511	0.019	-10.532	0.009	2459522.583	3.152	2.131	-1.021	59522.58367	0.02102379604	0.01923538406	0.009486832981	0.8583887108	0.9745501461
-12.687	0.003	-9.534	0.019	-10.577	0.009	2459522.584	3.153	2.11	-1.043	59522.58386	0.02102379604	0.01923538406	0.009486832981	0.8589736432	0.9751322095
-12.683	0.003	-9.576	0.018	-10.548	0.009	2459522.584	3.107	2.135	-0.972	59522.58405	0.0201246118	0.01824828759	0.009486832981	0.8595557065	0.9757283361
-12.674	0.003	-9.517	0.018	-10.535	0.009	2459522.584	3.157	2.139	-1.018	59522.58423	0.0201246118	0.01824828759	0.009486832981	0.8601518332	0.9763111168
-12.662	0.003	-9.504	0.019	-10.559	0.009	2459522.584	3.158	2.103	-1.055	59522.58446	0.02102379604	0.01923538406	0.009486832981	0.8607346138	0.9770212976
-12.643	0.003	-9.488	0.019	-10.522	0.009	2459522.584	3.155	2.121	-1.034	59522.58465	0.02102379604	0.01923538406	0.009486832981	0.8614447947	0.9776008361
-12.646	0.003	-9.472	0.019	-10.5	0.009	2459522.585	3.174	2.146	-1.028	59522.58483	0.02102379604	0.01923538406	0.009486832981	0.8620243331	0.9781825263
-12.629	0.003	-9.459	0.02	-10.5	0.009	2459522.585	3.17	2.129	-1.041	59522.58502	0.0219317122	0.02022374842	0.009486832981	0.8626060233	0.9787645896
-12.621	0.003	-9.465	0.019	-10.498	0.01	2459522.585	3.156	2.123	-1.033	59522.58521	0.02147091055	0.01923538406	0.01044030651	0.8631880867	0.9793488047
-12.635	0.003	-9.452	0.02	-10.519	0.009	2459522.585	3.183	2.116	-1.067	59522.5854	0.0219317122	0.02022374842	0.009486832981	0.8637723018	0.9799348594
-12.592	0.003	-9.452	0.02	-10.484	0.01	2459522.585	3.14	2.108	-1.032	59522.58558	0.02236067977	0.02022374842	0.01044030651	0.8643583565	0.9805176096
-12.646	0.003	-9.493	0.019	-10.518	0.009	2459522.586	3.153	2.128	-1.025	59522.58577	0.02102379604	0.01923538406	0.009486832981	0.8649411066	0.981098613
-12.633	0.003	-9.509	0.019	-10.51	0.01	2459522.586	3.124	2.123	-1.001	59522.58596	0.02147091055	0.01923538406	0.01044030651	0.8655221101	0.981685353
-12.652	0.003	-9.525	0.018	-10.527	0.009	2459522.586	3.127	2.125	-1.002	59522.58615	0.0201246118	0.01824828759	0.009486832981	0.8661088501	0.9822717823
-12.625	0.003	-9.484	0.019	-10.504	0.01	2459522.586	3.141	2.121	-1.02	59522.58633	0.02147091055	0.01923538406	0.01044030651	0.8666952794	0.9828541883
-12.573	0.003	-9.409	0.02	-10.45	0.01	2459522.586	3.164	2.123	-1.041	59522.58652	0.02236067977	0.02022374842	0.01044030651	0.8672776854	0.9834355039
-12.644	0.003	-9.503	0.018	-10.531	0.009	2459522.587	3.141	2.113	-1.028	59522.58671	0.0201246118	0.01824828759	0.009486832981	0.867859001	0.984019751
-12.57	0.003	-9.438	0.02	-10.463	0.01	2459522.587	3.132	2.107	-1.025	59522.58689	0.02236067977	0.02022374842	0.01044030651	0.868443248	0.9846047138
-12.626	0.003	-9.47	0.02	-10.514	0.009	2459522.587	3.156	2.112	-1.044	59522.58708	0.0219317122	0.02022374842	0.009486832981	0.8690282109	0.9851871213
-12.616	0.003	-9.49	0.019	-10.483	0.01	2459522.587	3.126	2.133	-0.993	59522.58727	0.02147091055	0.01923538406	0.01044030651	0.8696106184	0.9857691846
-12.663	0.003	-9.513	0.019	-10.553	0.009	2459522.587	3.15	2.11	-1.04	59522.58745	0.02102379604	0.01923538406	0.009486832981	0.8701926817	0.9863501562
-12.625	0.003	-9.494	0.019	-10.523	0.009	2459522.587	3.131	2.102	-1.029	59522.58764	0.02102379604	0.01923538406	0.009486832981	0.8707736532	0.9869405143
-12.614	0.003	-9.435	0.02	-10.483	0.01	2459522.588	3.179	2.131	-1.048	59522.58783	0.02236067977	0.02022374842	0.01044030651	0.8713640114	0.9875402563
-12.634	0.003	-9.494	0.019	-10.536	0.009	2459522.588	3.14	2.098	-1.042	59522.58803	0.02102379604	0.01923538406	0.009486832981	0.8719637534	0.9881630722
-12.637	0.003	-9.483	0.019	-10.505	0.009	2459522.588	3.154	2.132	-1.022	59522.58822	0.02102379604	0.01923538406	0.009486832981	0.8725865692	0.9887429852
-12.618	0.003	-9.478	0.019	-10.5	0.01	2459522.588	3.14	2.118	-1.022	59522.58841	0.02147091055	0.01923538406	0.01044030651	0.8731664823	0.9893467185
-12.619	0.003	-9.489	0.019	-10.503	0.01	2459522.588	3.13	2.116	-1.014	59522.5886	0.02147091055	0.01923538406	0.01044030651	0.8737702156	0.989929126
-12.641	0.003	-9.5	0.019	-10.524	0.009	2459522.589	3.141	2.117	-1.024	59522.58879	0.02102379604	0.01923538406	0.009486832981	0.874352623	0.9905162711
-12.57	0.003	-9.432	0.02	-10.478	0.01	2459522.589	3.138	2.092	-1.046	59522.58898	0.02236067977	0.02022374842	0.01044030651	0.8749397681	0.9911019207
-12.544	0.003	-9.379	0.02	-10.454	0.01	2459522.589	3.165	2.09	-1.075	59522.58918	0.02236067977	0.02022374842	0.01044030651	0.8755254177	0.9917193731
-12.496	0.003	-9.317	0.021	-10.387	0.01	2459522.589	3.179	2.109	-1.07	59522.58937	0.0232594067	0.02121320344	0.01044030651	0.8761428702	0.9923248531
-12.589	0.003	-9.462	0.019	-10.5	0.01	2459522.589	3.127	2.089	-1.038	59522.58956	0.02147091055	0.01923538406	0.01044030651	0.8767483501	0.9929094428
-12.624	0.003	-9.495	0.019	-10.526	0.009	2459522.59	3.129	2.098	-1.031	59522.58975	0.02102379604	0.01923538406	0.009486832981	0.8773329398	0.9935239638
-12.568	0.003	-9.416	0.019	-10.465	0.01	2459522.59	3.152	2.103	-1.049	59522.58994	0.02147091055	0.01923538406	0.01044030651	0.8779474609	0.9941060591
-12.511	0.003	-9.392	0.021	-10.407	0.01	2459522.59	3.119	2.104	-1.015	59522.59013	0.0232594067	0.02121320344	0.01044030651	0.8785295562	0.9946888397
-12.595	0.003	-9.498	0.019	-10.482	0.01	2459522.59	3.097	2.113	-0.984	59522.59032	0.02147091055	0.01923538406	0.01044030651	0.8791123368	0.9952781061
-12.6	0.003	-9.497	0.019	-10.497	0.01	2459522.59	3.103	2.103	-1	59522.5905	0.02147091055	0.01923538406	0.01044030651	0.8797016031	0.9958612613
-12.637	0.003	-9.534	0.018	-10.539	0.009	2459522.591	3.103	2.098	-1.005	59522.5907	0.0201246118	0.01824828759	0.009486832981	0.8802847583	0.996485169
-12.631	0.003	-9.507	0.018	-10.538	0.009	2459522.591	3.124	2.093	-1.031	59522.59089	0.0201246118	0.01824828759	0.009486832981	0.880908666	0.9970682922
-12.652	0.003	-9.526	0.019	-10.54	0.009	2459522.591	3.126	2.112	-1.014	59522.59108	0.02102379604	0.01923538406	0.009486832981	0.8814917893	0.9976554388
-12.581	0.003	-9.429	0.019	-10.496	0.01	2459522.591	3.152	2.085	-1.067	59522.59127	0.02147091055	0.01923538406	0.01044030651	0.8820789358	0.9982403697
-12.608	0.003	-9.461	0.019	-10.501	0.009	2459522.591	3.147	2.107	-1.04	59522.59145	0.02102379604	0.01923538406	0.009486832981	0.8826638667	0.9988235249
-12.425	0.003	-9.28	0.022	-10.306	0.011	2459522.591	3.145	2.119	-1.026	59522.59164	0.02459674775	0.02220360331	0.01140175425	0.883247022	0.9994070227
-12.584	0.003	-9.463	0.019	-10.486	0.01	2459522.592	3.121	2.098	-1.023	59522.59183	0.02147091055	0.01923538406	0.01044030651	0.8838305198	0.9999880277
-12.519	0.003	-9.402	0.02	-10.412	0.01	2459522.592	3.117	2.107	-1.01	59522.59201	0.02236067977	0.02022374842	0.01044030651	0.8844115247	0.0005693418134
-12.584	0.003	-9.472	0.019	-10.48	0.01	2459522.592	3.112	2.104	-1.008	59522.5922	0.02147091055	0.01923538406	0.01044030651	0.8849928389	0.001161882233
-12.544	0.003	-9.464	0.019	-10.464	0.01	2459522.592	3.08	2.08	-1	59522.59239	0.02147091055	0.01923538406	0.01044030651	0.8855853793	0.001743915103
-12.632	0.003	-9.531	0.018	-10.54	0.009	2459522.592	3.101	2.092	-1.009	59522.59258	0.0201246118	0.01824828759	0.009486832981	0.8861674122	0.002326321117
-12.529	0.003	-9.38	0.021	-10.437	0.01	2459522.593	3.149	2.092	-1.057	59522.59277	0.0232594067	0.02121320344	0.01044030651	0.8867498182	0.00291421539
-12.583	0.003	-9.477	0.019	-10.482	0.01	2459522.593	3.106	2.101	-1.005	59522.59296	0.02147091055	0.01923538406	0.01044030651	0.8873377125	0.003518635424
-12.627	0.003	-9.544	0.018	-10.539	0.009	2459522.593	3.083	2.088	-0.995	59522.59315	0.0201246118	0.01824828759	0.009486832981	0.8879421325	0.004108619012
-12.594	0.003	-9.492	0.019	-10.511	0.009	2459522.593	3.102	2.083	-1.019	59522.59336	0.02102379604	0.01923538406	0.009486832981	0.8885321161	0.004779451347
-12.629	0.003	-9.548	0.018	-10.556	0.009	2459522.593	3.081	2.073	-1.008	59522.59356	0.0201246118	0.01824828759	0.009486832981	0.8892029484	0.005382436883
-12.515	0.003	-9.418	0.02	-10.436	0.01	2459522.594	3.097	2.079	-1.018	59522.59374	0.02236067977	0.02022374842	0.01044030651	0.889805934	0.005963409851
-12.604	0.003	-9.49	0.019	-10.515	0.009	2459522.594	3.114	2.089	-1.025	59522.59394	0.02102379604	0.01923538406	0.009486832981	0.8903869069	0.006577213648
-12.588	0.003	-9.51	0.019	-10.496	0.01	2459522.594	3.078	2.092	-0.986	59522.59413	0.02147091055	0.01923538406	0.01044030651	0.8910007107	0.007158966297
-12.562	0.003	-9.442	0.019	-10.466	0.01	2459522.594	3.12	2.096	-1.024	59522.59431	0.02147091055	0.01923538406	0.01044030651	0.8915824634	0.007742838751
-12.561	0.003	-9.461	0.019	-10.499	0.01	2459522.594	3.1	2.062	-1.038	59522.5945	0.02147091055	0.01923538406	0.01044030651	0.8921663358	0.00832162803
-12.494	0.003	-9.39	0.02	-10.425	0.01	2459522.594	3.104	2.069	-1.035	59522.59469	0.02236067977	0.02022374842	0.01044030651	0.8927451251	0.008915602947
-12.645	0.003	-9.561	0.018	-10.566	0.009	2459522.595	3.084	2.079	-1.005	59522.59492	0.0201246118	0.01824828759	0.009486832981	0.8933391	0.009626843685
