star 1	err	star 2	err	star 3	err	HJD	2-1	3-1	3-2	Epoch	error 3-2	error 2-1	error 3-1	phase
-13.109	0.003	-9.946	0.018	-11.39	0.007	2459522.58	3.163	1.719	-1.444	59522.57975	0.01931320792	0.01824828759	0.007615773106	0.9623214449
-13.072	0.003	-9.907	0.018	-11.333	0.007	2459522.58	3.165	1.739	-1.426	59522.57994	0.01931320792	0.01824828759	0.007615773106	0.9629388669
-13.194	0.003	-10.005	0.018	-11.458	0.007	2459522.58	3.189	1.736	-1.453	59522.58013	0.01931320792	0.01824828759	0.007615773106	0.9635241738
-13.31	0.003	-10.098	0.016	-11.57	0.006	2459522.58	3.212	1.74	-1.472	59522.58032	0.01708800749	0.0162788206	0.006708203932	0.9641073276
-13.326	0.003	-10.139	0.016	-11.594	0.006	2459522.581	3.187	1.732	-1.455	59522.58051	0.01708800749	0.0162788206	0.006708203932	0.9647059791
-13.309	0.003	-10.153	0.016	-11.585	0.006	2459522.581	3.156	1.724	-1.432	59522.5807	0.01708800749	0.0162788206	0.006708203932	0.965285175
-13.304	0.003	-10.144	0.016	-11.573	0.006	2459522.581	3.16	1.731	-1.429	59522.58089	0.01708800749	0.0162788206	0.006708203932	0.9658726322
-13.312	0.003	-10.126	0.016	-11.571	0.006	2459522.581	3.186	1.741	-1.445	59522.58107	0.01708800749	0.0162788206	0.006708203932	0.9664550397
-13.243	0.003	-10.06	0.017	-11.549	0.006	2459522.581	3.183	1.694	-1.489	59522.58126	0.01802775638	0.0172626765	0.006708203932	0.9670508222
-13.328	0.003	-10.178	0.016	-11.605	0.006	2459522.581	3.15	1.723	-1.427	59522.58145	0.01708800749	0.0162788206	0.006708203932	0.9676458875
-13.274	0.003	-10.123	0.016	-11.54	0.006	2459522.582	3.151	1.734	-1.417	59522.58164	0.01708800749	0.0162788206	0.006708203932	0.96822976
-13.263	0.003	-10.095	0.016	-11.54	0.007	2459522.582	3.168	1.723	-1.445	59522.58184	0.0174642492	0.0162788206	0.007615773106	0.9688460901
-13.244	0.003	-10.058	0.017	-11.509	0.007	2459522.582	3.186	1.735	-1.451	59522.58203	0.01838477631	0.0172626765	0.007615773106	0.9694263458
-13.262	0.003	-10.13	0.016	-11.536	0.006	2459522.582	3.132	1.726	-1.406	59522.58221	0.01708800749	0.0162788206	0.006708203932	0.9700087838
-13.229	0.003	-10.051	0.017	-11.521	0.007	2459522.582	3.178	1.708	-1.47	59522.5824	0.01838477631	0.0172626765	0.007615773106	0.9705966156
-13.293	0.003	-10.135	0.016	-11.564	0.006	2459522.583	3.158	1.729	-1.429	59522.58259	0.01708800749	0.0162788206	0.006708203932	0.9711790217
-13.319	0.003	-10.128	0.016	-11.609	0.006	2459522.583	3.191	1.71	-1.481	59522.58278	0.01708800749	0.0162788206	0.006708203932	0.9717646713
-13.26	0.003	-10.126	0.016	-11.535	0.006	2459522.583	3.134	1.725	-1.409	59522.58296	0.01708800749	0.0162788206	0.006708203932	0.9723489183
-13.216	0.003	-10.056	0.017	-11.496	0.007	2459522.583	3.16	1.72	-1.44	59522.58315	0.01838477631	0.0172626765	0.007615773106	0.9729345984
-13.23	0.003	-10.075	0.016	-11.499	0.007	2459522.583	3.155	1.731	-1.424	59522.58334	0.0174642492	0.0162788206	0.007615773106	0.9735220876
-13.282	0.003	-10.111	0.016	-11.583	0.006	2459522.584	3.171	1.699	-1.472	59522.58353	0.01708800749	0.0162788206	0.006708203932	0.9741041205
